"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"8947","0",4.4933,0,NA,NA,NA,1522,40.79,2,"F","35_to_49",2
"8948","0",56.4341,6.3,68,1,700,658,34.69,5,"F","18_to_34",5
"8949","1",14.3041,0,NA,NA,NA,690,11.8,2,"M","18_to_34",2
"8950","0",20.1829,0,NA,NA,NA,3,0.06,2,"F","35_to_49",2
"8951","0",19.4355,2.6,17,NA,NA,378,8.81,5,"M","35_to_49",3
"8952","1",29.3896,3.1,31,NA,NA,43,35.13,5,"F","35_to_49",4
"8953","1",1.0932,3.2,27,NA,NA,351,7.48,5,"F","35_to_49",4
"8954","1",5.1354,0,NA,NA,NA,1548,30.67,2,"F","35_to_49",2
"8955","0",62.4488,7.4,139,3,2875,1433,69.24,5,"F","35_to_49",5
"8956","0",38.9793,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"8957","0",20.8567,0,NA,NA,NA,33,0.52,2,"M","35_to_49",2
"8958","0",45.583,8.1,144,18,22063,155,230,5,"M","35_to_49",5
"8959","0",7.5935,6.4,234,6,64636,80,980.08,5,"M","35_to_49",5
"8960","1",38.0159,1.9,15,NA,NA,680,12.48,5,"M","35_to_49",2
"8961","1",48.2892,4.5,57,NA,NA,777,11.5,5,"F","35_to_49",4
"8962","1",5.4324,0,NA,NA,NA,0,21.53,2,"M","35_to_49",2
"8963","0",93.1027,0,NA,NA,NA,100,2.13,2,"F","35_to_49",2
"8964","0",96.4988,6.6,124,9,24267,8466,568.9,5,"F","35_to_49",5
"8965","0",0,0,NA,NA,NA,85,18.3,2,"F","35_to_49",2
"8966","0",52.777,0,NA,NA,NA,1443,25.73,2,"M","60_or_higher",2
"8967","0",36.3901,0.9,5,NA,NA,250,4.28,2,"I","",2
"8968","0",58.3169,0,NA,NA,NA,17,0.31,2,"M","35_to_49",2
"8969","0",58.3169,1.2,2,NA,NA,58,0.97,5,"F","35_to_49",2
"8970","0",53.1048,3.1,12,NA,NA,232,2.97,5,"F","35_to_49",4
"8971","1",12.5644,3,49,NA,NA,380,10.3,5,"F","35_to_49",4
"8972","1",36.4866,0,NA,NA,NA,300,5.13,2,"M","35_to_49",2
"8973","0",62.252,0,NA,NA,NA,44,0.77,2,"F","35_to_49",2
"8974","1",15.36,0,NA,NA,NA,224,4.18,2,"F","35_to_49",2
"8975","1",57.3229,0,NA,NA,NA,0,0.65,2,"F","60_or_higher",2
"8976","0",17.423,6.3,132,3,2875,312,51.52,5,"M","35_to_49",5
"8977","0",46.7489,0.9,4,NA,NA,203,3.55,5,"F","35_to_49",2
"8978","0",75.09,0,NA,NA,NA,530,54.95,2,"M","35_to_49",2
"8979","1",34.6998,7.2,238,4,3387,598,64.53,5,"F","35_to_49",5
"8980","0",47.8701,7.1,134,3,5102,1209,114.73,5,"M","18_to_34",5
"8981","1",3.7571,0,NA,NA,NA,1,0.02,2,"M","18_to_34",2
"8982","1",76.2666,0,NA,NA,NA,79,116.84,2,"M","35_to_49",2
"8983","1",19.5904,2.8,40,NA,NA,241,28.5,5,"M","35_to_49",3
"8984","1",43.9412,5.5,97,1,826,927,28.26,5,"F","35_to_49",4
"8985","0",64.2733,3.4,23,NA,NA,530,7.95,5,"M","35_to_49",4
"8986","0",95.5342,2.1,2,1,3423,54,20.43,1,"I","35_to_49",2
"8987","1",23.0498,2.5,6,NA,NA,67,1.01,5,"F","35_to_49",3
"8988","1",3.7081,0,NA,NA,NA,349,23.48,2,"M","35_to_49",2
"8989","0",2.8867,0,NA,NA,NA,45,1.58,2,"M","35_to_49",2
"8990","0",15.12,0,NA,NA,NA,0,0,2,"F","18_to_34",1
"8991","1",36.4866,0,NA,NA,NA,100,1.71,2,"F","35_to_49",2
"8992","1",76.2666,0,NA,NA,NA,560,29.09,2,"M","35_to_49",2
"8993","0",50.645,0,NA,NA,NA,1883,121.23,2,"M","35_to_49",2
"8994","1",15.12,0,NA,NA,NA,1,0.01,2,"I","",2
"8995","1",56.8339,0,NA,NA,NA,300,79.56,2,"F","35_to_49",2
"8996","1",5.9768,0,NA,NA,NA,497,9.49,2,"F","35_to_49",2
"8997","1",19.886,8,328,5,2605,303,43.36,5,"M","35_to_49",5
"8998","0",64.2733,0,NA,NA,NA,266,4.79,2,"M","35_to_49",2
"8999","1",22.2554,3.1,49,NA,NA,1510,24.61,5,"F","35_to_49",4
"9000","1",43.4024,0,NA,NA,NA,100,1.71,2,"M","35_to_49",2
"9001","0",33.9267,1.9,9,NA,NA,856,18.84,5,"M","35_to_49",3
"9002","1",8.1969,5.1,86,2,2766,1416,73.3,5,"F","35_to_49",4
"9003","0",27.1195,5.1,138,1,6,1168,26.96,5,"F","35_to_49",4
"9004","0",60.5443,6.7,71,2,2842,1348,71.23,5,"F","35_to_49",5
"9005","1",4.8537,2.8,87,NA,NA,656,9.89,5,"M","35_to_49",2
"9006","0",2.3567,7.2,234,10,13476,2670,204.79,5,"F","18_to_34",5
"9007","0",54.0267,0,NA,NA,NA,14,0.24,2,"F","60_or_higher",2
"9008","0",14.451,0,NA,NA,NA,1321,22.52,2,"M","35_to_49",2
"9009","0",65.5153,7.1,293,7,39765,462,252.21,1,"M","35_to_49",5
"9010","1",15.3639,0,NA,NA,NA,323,93.94,2,"M","35_to_49",2
"9011","1",5.9768,5.2,332,NA,NA,1439,23.12,5,"M","18_to_34",4
"9012","0",42.2192,2.2,27,2,9115,64438,1168.59,2,"F","35_to_49",2
"9013","0",39.2613,0,NA,NA,NA,30,0.6,2,"F","18_to_34",2
"9014","1",2.6535,0,NA,NA,NA,50,1.26,2,"M","35_to_49",2
"9015","0",18.0745,0,NA,NA,NA,387,5.57,2,"M","18_to_34",2
"9016","1",38.8823,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"9017","0",3.9635,0,NA,NA,NA,1043,17.33,2,"M","18_to_34",2
"9018","0",19.0914,0,NA,NA,NA,12,14.01,2,"F","35_to_49",2
"9019","1",41.4607,4.3,203,NA,NA,7167,116.2,5,"F","35_to_49",4
"9020","1",6.8412,4.2,132,NA,NA,2665,42.93,5,"M","35_to_49",4
"9021","0",14.4173,5.5,133,1,1620,1132,44.17,5,"F","35_to_49",4
"9022","1",40.247,1.6,5,NA,NA,41,0.61,5,"M","18_to_34",3
"9023","1",64.2733,3.6,38,NA,NA,591,8.39,5,"M","35_to_49",4
"9024","1",2.0241,2.9,15,NA,NA,790,13.43,5,"M","18_to_34",3
"9025","1",17.7124,0,NA,NA,NA,50,0.85,2,"I","",2
"9026","0",13.5532,6.1,118,8,23186,1330,362.13,4,"M","35_to_49",5
"9027","1",55.8671,1.5,3,NA,NA,93,1.4,5,"F","35_to_49",3
"9028","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
