"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"1","#N/D",NA,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"2","1",13.0229,0,NA,NA,NA,112,1.61,2,"F","",2
"3","1",96.4988,0,NA,NA,NA,1319,530.78,2,"F","35_to_49",2
"4","#N/D",NA,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"5","1",23.3103,0,NA,NA,NA,266,6.45,2,"F","18_to_34",2
"6","#N/D",NA,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"7","#N/D",NA,0,NA,NA,NA,0,0,2,"M","18_to_34",1
"8","0",30.6057,0,NA,NA,NA,0,0.31,2,"F","50_to_59",2
"9","0",60.5443,3.6,55,NA,NA,3531,53.04,5,"F","35_to_49",4
"10","1",7.6849,6,460,4,1792,489,38.18,5,"F","35_to_49",5
"11","1",3.0807,2.6,19,NA,NA,559,14.57,5,"F","50_to_59",3
"12","0",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"13","0",57.0006,2.9,97,1,3844,192,100.29,1,"M","60_or_higher",3
"14","0",54.0267,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"15","0",77.8403,0,NA,NA,NA,224,46.89,2,"M","35_to_49",2
"16","0",40.5167,1.9,48,NA,NA,130,2.13,5,"M","35_to_49",2
"17","1",18.8608,7.8,349,6,19325,751,309.77,5,"F","35_to_49",5
"18","0",51.0113,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"19","1",14.6519,2.3,21,NA,NA,1550,27.36,5,"M","35_to_49",3
"20","1",38.7619,0,NA,NA,NA,546,70.83,2,"F","35_to_49",2
"21","0",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"22","0",3.7249,3,29,NA,NA,1235,22.23,5,"M","35_to_49",4
"23","0",53.1048,0,NA,NA,NA,30,0.48,2,"F","35_to_49",2
"24","1",29.6715,4,27,NA,NA,296,5.65,5,"F","35_to_49",4
"25","0",52.8186,3.7,21,NA,NA,125,4.7,5,"M","35_to_49",4
"26","0",13.4776,0,NA,NA,NA,200,3.42,2,"M","35_to_49",2
"27","0",23.0048,5.1,48,NA,NA,728,16.03,5,"M","35_to_49",4
"28","0",12.75,0,NA,NA,NA,0,15.64,2,"M","35_to_49",2
"29","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"30","1",66.9952,0,NA,NA,NA,1516,117.33,2,"M","60_or_higher",2
"31","1",8.1969,0,NA,NA,NA,256,45.51,2,"M","35_to_49",2
"32","0",21.5967,0,NA,NA,NA,66,7.26,2,"F","60_or_higher",2
"33","1",42.1677,3.4,21,1,24,410,6.92,5,"M","35_to_49",4
"34","0",91.3701,2.2,10,NA,NA,125,1.87,5,"M","35_to_49",3
"35","0",92.2794,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"36","#N/D",NA,0,NA,NA,NA,0,0,2,"M","18_to_34",1
"37","0",18.0745,0,NA,NA,NA,174,15.77,2,"F","35_to_49",2
"38","1",49.4036,2.9,30,NA,NA,764,12.17,5,"M","35_to_49",3
"39","0",41.799,0,NA,NA,NA,0,129.58,2,"M","35_to_49",2
"40","1",23.0498,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"41","0",23.0712,0,NA,NA,NA,191,2.92,2,"F","35_to_49",2
"42","0",52.2422,0,NA,NA,NA,320,112.44,2,"M","35_to_49",2
"43","0",6.5279,0,NA,NA,NA,72,13.61,2,"F","35_to_49",2
"44","1",46.7489,2.5,8,NA,NA,374,6.16,5,"F","35_to_49",3
"45","0",21.9493,0,NA,NA,NA,944,70.19,2,"M","35_to_49",2
"46","0",44.9721,5.5,361,5,19,1790,28.1,5,"F","60_or_higher",4
"47","1",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"48","0",21.9493,4.5,229,NA,NA,1998,38.67,5,"M","35_to_49",4
"49","1",19.886,4.9,104,NA,NA,1512,22.4,5,"F","35_to_49",4
"50","0",65.5871,2.9,11,2,104,860,14.46,5,"M","35_to_49",3
"51","1",25.2823,8.4,655,6,4075,233,61.77,5,"F","60_or_higher",5
"52","0",49.4033,5.6,56,2,2735,3711,123.22,5,"F","35_to_49",4
"53","0",31.2033,7.8,218,4,11598,673,129.77,5,"M","35_to_49",5
"54","0",29.3896,0,NA,NA,NA,79,15.25,2,"F","35_to_49",2
"55","1",38.9793,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"56","1",13.3648,0,NA,NA,NA,0,2.92,2,"F","50_to_59",2
"57","1",76.8216,0,NA,NA,NA,163,200.85,2,"M","50_to_59",2
"58","0",76.6994,7.8,213,3,7091,750,130.9,5,"F","35_to_49",5
"59","1",5.6064,4.9,75,NA,NA,2342,31.94,5,"M","35_to_49",4
"60","1",20.2693,0,NA,NA,NA,1612,32.41,2,"M","35_to_49",2
"61","1",45.9156,0,NA,NA,NA,1064,25.37,2,"F","35_to_49",2
"62","0",45.3044,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"63","0",28.1942,0,NA,NA,NA,50,0.85,2,"M","35_to_49",2
"64","0",74.1521,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"65","1",15.12,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"66","0",91.3701,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"67","1",37.8803,4.5,315,NA,NA,5981,103.93,5,"M","35_to_49",4
"68","0",50.844,7.9,540,15,11987,569,219.73,5,"M","50_to_59",5
"69","1",19.9297,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"70","0",43.4024,0,NA,NA,NA,50,0.85,2,"I","",2
"71","1",38.8823,0.3,1,NA,NA,50,0.85,5,"M","35_to_49",2
"72","1",41.3759,0,NA,NA,NA,0,0.99,2,"F","35_to_49",2
"73","1",91.3701,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"74","1",46.3394,5.6,57,1,847,2432,52.62,5,"F","50_to_59",4
"75","0",40.3443,0,NA,NA,NA,66,1.04,2,"F","35_to_49",2
"76","0",7.9401,1.7,25,NA,NA,791,13.34,5,"F","50_to_59",2
"77","0",33.9267,0,NA,NA,NA,72,1.13,2,"F","",2
"78","0",36.3901,0,NA,NA,NA,0,0.65,2,"M","35_to_49",2
"79","1",45.3044,3,10,NA,NA,230,3.75,5,"F","35_to_49",4
"80","0",30.6057,0,NA,NA,NA,13,0.04,2,"I","35_to_49",2
"81","1",27.6669,0,NA,NA,NA,2710,65.66,2,"M","35_to_49",2
"82","1",30.8767,4,152,NA,NA,6720,108.08,5,"F","35_to_49",4
"83","0",54.0267,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"84","1",20.9332,4.3,126,NA,NA,1523,24.51,5,"M","35_to_49",4
"85","1",0.8226,6.1,356,3,1489,503,25.85,5,"F","35_to_49",5
"86","1",65.3079,0,NA,NA,NA,16700,624.2,2,"M","50_to_59",2
"87","0",20.7653,0,NA,NA,NA,0,0.65,2,"F","50_to_59",2
"88","0",49.8398,3,21,NA,NA,972,15.84,5,"M","50_to_59",4
"89","0",52.1973,0,NA,NA,NA,570,143.24,2,"M","50_to_59",2
"90","1",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"91","0",38.9793,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"92","1",52.4557,0,NA,NA,NA,150,227.58,2,"M","35_to_49",2
"93","0",76.5998,1,2,NA,NA,50,1.71,5,"M","50_to_59",3
"94","1",5.9768,0,NA,NA,NA,497,12.48,2,"M","35_to_49",2
"95","0",81.7478,0,NA,NA,NA,413,8.1,2,"F","50_to_59",2
"96","1",47.8793,5.2,114,1,12301,892,277.55,5,"F","35_to_49",4
"97","0",19.886,4.8,99,2,14,1201,29.31,5,"M","35_to_49",4
"98","0",19.3398,3.7,264,NA,NA,3707,56.68,5,"M","35_to_49",4
"99","1",25.2823,6.3,456,1,871,898,26.44,5,"F","60_or_higher",5
"100","1",19.0914,0,NA,NA,NA,0,3.25,2,"M","35_to_49",2
"101","0",41.9889,7.1,491,7,4718,1006,86.32,5,"F","35_to_49",5
"102","1",58.6742,7.7,232,14,28770,273,365.16,5,"M","35_to_49",5
"103","0",54.0267,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"104","0",23.0048,0,NA,NA,NA,0,4.58,2,"F","60_or_higher",2
"105","0",74.1521,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"106","0",42.5179,0,NA,NA,NA,281,3.51,2,"F","50_to_59",2
"107","#N/D",NA,0,NA,NA,NA,0,0,2,"M","",1
"108","0",0.2653,0,NA,NA,NA,0,0.65,2,"F","35_to_49",2
"109","1",42.3984,2.6,21,NA,NA,307,15.99,5,"F","50_to_59",3
"110","0",30.8767,0,NA,NA,NA,0,1005.74,2,"F","35_to_49",2
"111","0",38.8098,0,NA,NA,NA,0,96.14,2,"F","35_to_49",2
"112","0",30.8767,0,NA,NA,NA,149,9.35,2,"F","60_or_higher",2
"113","1",36.3901,0,NA,NA,NA,0,1.3,2,"F","35_to_49",2
"114","1",28.9966,4.3,94,1,1695,173,28.21,5,"F","50_to_59",4
"115","0",33.3322,6.4,161,18,18080,4657,307.52,1,"M","35_to_49",5
"116","1",15.7124,0,NA,NA,NA,296,18.82,2,"M","35_to_49",2
"117","0",40.0312,0.3,1,NA,NA,2,0.01,5,"F","50_to_59",2
"118","0",21.6434,8.1,1323,46,50853,767,787.85,5,"M","35_to_49",5
"119","0",23.0498,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"120","1",4.4933,0,NA,NA,NA,136,24.33,2,"F","50_to_59",2
"121","1",19.9297,2.8,15,NA,NA,47,1.21,5,"M","35_to_49",3
"122","1",0.2653,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"123","1",25.7141,5.7,728,1,1,2613,113.18,5,"M","35_to_49",4
"124","0",67.7287,9.3,383,37,38093,278,628.96,5,"F","35_to_49",6
"125","1",38.2167,0,NA,NA,NA,35,16.27,2,"M","35_to_49",2
"126","#N/D",NA,0,NA,NA,NA,0,0.65,2,"F","35_to_49",2
"127","1",91.3701,0,NA,NA,NA,0,0.18,2,"M","35_to_49",2
"128","0",38.8823,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"129","1",0.2653,3.2,35,NA,NA,103,2.19,5,"M","35_to_49",4
"130","1",18.1587,5.9,107,1,492,1363,28.63,5,"M","35_to_49",4
"131","1",21.3164,3.3,58,NA,NA,424,6.36,5,"M","35_to_49",4
"132","0",36.3901,0,NA,NA,NA,0,0.65,2,"F","50_to_59",2
"133","0",74.1521,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"134","1",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"135","1",15.12,0,NA,NA,NA,0,0,2,"F","50_to_59",1
"136","1",9.7085,0,NA,NA,NA,1131,17.89,2,"M","35_to_49",2
"137","1",15.7124,0,NA,NA,NA,431,7.47,2,"F","60_or_higher",2
"138","1",38.8823,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"139","1",32.1021,0,NA,NA,NA,136,2.1,2,"F","35_to_49",2
"140","0",19.1878,7,271,4,4096,712,84.14,5,"F","35_to_49",5
"141","1",4.8556,2,10,NA,NA,115,2.51,5,"M","35_to_49",3
"142","0",61.3601,5.5,87,2,21268,9722,564.55,4,"M","35_to_49",4
"143","0",72.4438,6.7,124,6,37542,2584,296.31,5,"F","35_to_49",5
"144","0",93.9659,7.6,256,3,60411,20706,913.77,5,"M","35_to_49",5
"145","0",3.7081,3.3,50,NA,NA,2363,47.78,5,"M","35_to_49",4
"146","0",3.7571,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"147","0",76.5998,0,NA,NA,NA,0,0.65,2,"M","60_or_higher",2
"148","0",60.5443,0,NA,NA,NA,378,134.42,2,"M","60_or_higher",2
"149","0",29.3896,0,NA,NA,NA,373,11.96,2,"M","35_to_49",2
"150","0",19.886,3.1,72,NA,NA,621,21.39,5,"F","35_to_49",4
"151","0",45.3044,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"152","0",37.7835,4.3,273,NA,NA,3079,49.4,5,"F","50_to_59",4
"153","1",2.8867,0,NA,NA,NA,0,3.21,2,"M","35_to_49",2
"154","1",58.6742,0,NA,NA,NA,104,29.81,2,"F","35_to_49",2
"155","0",60.5443,0,NA,NA,NA,2184,37.36,2,"I","",2
"156","1",2.1277,4,33,NA,NA,1513,27.97,5,"M","35_to_49",4
"157","1",3.962,0,NA,NA,NA,169,161.88,2,"F","35_to_49",2
"158","0",68.3883,0,NA,NA,NA,3908,556.01,2,"M","35_to_49",2
"159","#N/D",NA,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"160","0",58.3169,0,NA,NA,NA,0,0,2,"M","",1
"161","0",40.0312,0,NA,NA,NA,0,0,2,"M","",1
"162","0",15.12,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"163","0",73.6546,6.9,186,12,57534,163,365.3,5,"M","35_to_49",5
"164","1",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"165","#N/D",NA,0,NA,NA,NA,0,0.65,2,"F","18_to_34",2
"166","1",43.9723,0,NA,NA,NA,0,538.18,2,"M","60_or_higher",2
"167","0",19.886,5.8,98,2,250,1434,29.51,5,"M","35_to_49",4
"168","1",15.12,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"169","0",44.7726,0.5,2,NA,NA,23,0.4,5,"F","18_to_34",2
"170","#N/D",NA,0,NA,NA,NA,102,1.82,2,"M","50_to_59",2
"171","1",65.5871,0,NA,NA,NA,0,1.1,2,"M","60_or_higher",2
"172","0",5.1354,5.3,140,3,12392,4922,305.55,1,"M","35_to_49",4
"173","0",15.12,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"174","0",58.6742,8.2,123,3,19316,1173,393.6,5,"M","35_to_49",5
"175","0",30.6057,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"176","0",71.5747,3.3,8,1,3074,310,22.04,5,"M","60_or_higher",4
"177","0",30.8767,2.3,41,NA,NA,462,19.48,5,"M","50_to_59",2
"178","1",60.5443,0,NA,NA,NA,21,47.69,2,"F","60_or_higher",2
"179","0",58.6467,0,NA,NA,NA,32,1.91,2,"M","50_to_59",2
"180","0",20.4667,0,NA,NA,NA,61,14.22,2,"F","35_to_49",2
"181","0",23.0498,0.6,1,NA,NA,4,0.06,5,"M","35_to_49",2
"182","0",64.2733,0,NA,NA,NA,575,11.01,2,"F","35_to_49",2
"183","0",15.12,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"184","0",27.1195,4.5,198,2,5,2073,52.19,5,"M","35_to_49",4
"185","0",38.9793,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"186","1",64.3227,0,NA,NA,NA,0,0.65,2,"M","35_to_49",2
"187","0",81.7325,5.7,30,5,35254,333,225.71,5,"F","60_or_higher",4
"188","0",74.7091,4,112,NA,NA,604,8.76,5,"M","18_to_34",4
"189","1",44.9721,7.3,224,4,1975,318,40.08,5,"F","35_to_49",5
"190","0",31.1275,0,NA,NA,NA,150,2.25,2,"F","35_to_49",2
"191","0",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"192","0",88.865,0,NA,NA,NA,620,150.76,2,"M","60_or_higher",2
"193","0",88.2125,0,NA,NA,NA,10000,84.5,2,"F","35_to_49",2
"194","0",30.8796,0,NA,NA,NA,2,0.17,2,"M","60_or_higher",2
"195","1",75.4356,0,NA,NA,NA,2111,39.67,2,"M","35_to_49",2
"196","1",15.5873,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"197","1",76.5998,0.5,2,NA,NA,56,0.84,5,"M","",2
"198","0",0.2653,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"199","0",25.6659,0,NA,NA,NA,12,3.77,2,"M","35_to_49",2
"200","1",61.9335,0,NA,NA,NA,2009,49.99,2,"M","35_to_49",2
"201","1",96.4988,0,NA,NA,NA,0,159.97,2,"M","60_or_higher",2
"202","0",32.6276,0,NA,NA,NA,770,13.17,2,"M","35_to_49",2
"203","1",6.5279,0,NA,NA,NA,0,12.11,2,"F","35_to_49",2
"204","1",2.637,2.3,5,NA,NA,50,6.06,5,"M","35_to_49",2
"205","0",7.9401,2.9,36,NA,NA,500,9.27,5,"M","35_to_49",3
"206","0",89.2103,2.5,15,2,7537,347,54.57,1,"M","35_to_49",3
"207","0",54.0267,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"208","1",26.2216,0,NA,NA,NA,304,6.74,2,"M","60_or_higher",2
"209","0",41.5709,0,NA,NA,NA,95,1.42,2,"M","35_to_49",2
"210","0",28.9966,6.6,173,4,3045,2823,110.63,5,"M","35_to_49",5
"211","0",15.8287,1.5,3,NA,NA,104,1.78,5,"F","35_to_49",3
"212","1",20.2524,0,NA,NA,NA,1390,20.45,2,"F","50_to_59",2
"213","0",39.1642,0,NA,NA,NA,30,0.56,2,"M","60_or_higher",2
"214","1",8.1969,7.7,849,17,11961,5364,252.76,5,"M","50_to_59",5
"215","#N/D",NA,0,NA,NA,NA,0,0.65,2,"F","35_to_49",2
"216","1",82.5701,6.9,238,11,45635,5618,442.39,1,"M","60_or_higher",5
"217","0",3.7571,1.1,1,NA,NA,0,0,5,"F","35_to_49",3
"218","1",68.5393,0,NA,NA,NA,34,8.23,2,"F","60_or_higher",2
"219","1",1.2795,3.3,36,NA,NA,337,5.86,5,"F","35_to_49",4
"220","1",23.0498,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"221","0",30.6057,0,NA,NA,NA,21,0.34,2,"F","50_to_59",2
"222","1",45.2947,0,NA,NA,NA,162,28.23,2,"F","35_to_49",2
"223","0",15.12,0.9,1,NA,NA,0,0.07,5,"M","35_to_49",3
"224","1",7.6849,6.8,70,3,1316,432,24.91,5,"M","35_to_49",5
"225","0",33.6713,2.6,18,NA,NA,1453,23.14,5,"M","35_to_49",2
"226","1",23.4498,0,NA,NA,NA,718,1441.15,2,"F","35_to_49",2
"227","1",31.7657,6.2,111,5,6392,3101,145.15,5,"F","35_to_49",5
"228","0",96.4988,3.2,56,NA,NA,415,14.11,5,"F","35_to_49",4
"229","#N/D",NA,0,NA,NA,NA,0,0,2,"M","18_to_34",2
"230","1",22.5631,6.1,55,2,984,692,25.33,5,"M","35_to_49",5
"231","1",21.5967,0,NA,NA,NA,65,5.86,2,"F","50_to_59",2
"232","0",93.9659,8.5,126,39,64552,660,613.7,5,"F","60_or_higher",5
"233","0",86.1602,6.6,277,9,43469,4037,433.11,5,"M","60_or_higher",5
"234","0",7.6849,0,NA,NA,NA,982,20.43,2,"F","35_to_49",2
"235","1",7.5935,8.5,467,15,145911,4085,1174.68,5,"M","50_to_59",5
"236","0",52.1973,0,NA,NA,NA,250,345.35,2,"M","60_or_higher",2
"237","1",42.1825,5.1,45,6,26532,6961,587.66,4,"F","35_to_49",4
"238","1",23.0712,0,NA,NA,NA,4,0.89,2,"F","35_to_49",2
"239","1",24.4969,3.2,51,NA,NA,836,13.68,5,"M","35_to_49",4
"240","0",97.2672,7.1,50,7,14011,13598,433.43,5,"F","60_or_higher",5
"241","1",65.5871,0,NA,NA,NA,234,3.74,2,"F","35_to_49",2
"242","0",82.5701,3.8,60,2,11884,5662,214.44,1,"F","35_to_49",4
"243","1",2.637,0,NA,NA,NA,420,30.06,2,"M","35_to_49",2
"244","1",5.9768,3.2,91,NA,NA,637,21.77,5,"M","35_to_49",4
"245","1",36.723,0,NA,NA,NA,1572,28.32,2,"M","35_to_49",2
"246","1",45.3044,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"247","0",54.0267,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"248","0",20.187,0,NA,NA,NA,1772,153.95,2,"F","60_or_higher",2
"249","0",46.3394,7.9,223,18,9306,647,173.55,5,"F","35_to_49",5
"250","0",27.1195,5.7,277,3,357,5042,89.84,5,"F","35_to_49",4
"251","0",3.7571,0,NA,NA,NA,0,0,2,"F","50_to_59",1
"252","1",79.0602,8.8,376,17,21947,920,436.79,5,"M","35_to_49",5
"253","1",41.5391,8.2,389,26,27830,2034,423.19,5,"F","35_to_49",5
"254","1",75.0872,0,NA,NA,NA,463,81.46,2,"F","35_to_49",2
"255","1",50.6684,0,NA,NA,NA,314,7.69,2,"M","60_or_higher",2
"256","0",100,6.6,344,4,507,17648,313.23,5,"F","35_to_49",5
"257","0",20.4667,0,NA,NA,NA,1356,21.02,2,"F","35_to_49",2
"258","0",84.8008,4.7,43,1,1143,554,20.84,5,"M","35_to_49",4
"259","1",4.562,5.5,226,1,750,772,23.34,5,"F","50_to_59",4
"260","0",91.3701,0.3,1,NA,NA,20,0.3,5,"F","35_to_49",2
"261","0",68.5393,0,NA,NA,NA,321,4.62,2,"F","35_to_49",2
"262","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"263","1",60.4506,6.9,95,2,2906,14857,284.26,5,"F","35_to_49",5
"264","0",46.3897,8.6,160,48,75824,2382,1111.84,1,"F","50_to_59",5
"265","0",21.9493,6.3,455,6,424,3381,59.98,5,"F","50_to_59",5
"266","1",62.0098,6.5,142,3,6206,5641,154.48,5,"F","35_to_49",5
"267","1",41.7734,2.4,7,NA,NA,2759,46.15,5,"M","35_to_49",3
"268","1",70.7846,0,NA,NA,NA,213,4.76,2,"F","50_to_59",2
"269","0",30.6057,0,NA,NA,NA,30,0.61,2,"F","50_to_59",2
"270","0",36.7786,4.9,207,2,12591,9614,331.03,1,"M","35_to_49",4
"271","1",62.4488,5.3,56,1,375,286,10.2,5,"F","35_to_49",4
"272","1",22.2267,0,NA,NA,NA,51,458.53,2,"F","35_to_49",2
"273","1",43.9412,4,85,NA,NA,1305,21,5,"F","60_or_higher",4
"274","1",55.0507,7.5,466,44,214440,9511,2788.09,1,"F","35_to_49",5
"275","0",54.0267,1.1,1,NA,NA,20,0.43,5,"F","",3
"276","1",52.777,3.3,43,NA,NA,939,15,5,"M","35_to_49",4
"277","0",38.9793,0.5,1,NA,NA,50,0.85,5,"F","35_to_49",2
"278","1",87.9448,0,NA,NA,NA,16486,828.78,2,"F","35_to_49",2
"279","0",60.5443,3.5,26,NA,NA,786,15.43,5,"M","35_to_49",4
"280","1",15.12,0,NA,NA,NA,0,0,2,"F","50_to_59",1
"281","0",64.2733,3.3,86,NA,NA,2062,33.08,5,"F","50_to_59",4
"282","0",0.2653,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"283","0",18.8966,1.8,5,NA,NA,630,10.28,5,"F","35_to_49",3
"284","1",57.3679,2.6,30,NA,NA,1261,20.5,5,"M","35_to_49",3
"285","1",3.9635,3,106,NA,NA,1793,28.8,5,"F","35_to_49",4
"286","0",54.0267,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"287","1",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"288","0",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"289","0",31.033,0,NA,NA,NA,200,0,2,"M","35_to_49",2
"290","1",19.0682,0,NA,NA,NA,520,9.03,2,"M","35_to_49",2
"291","1",20.2693,3.4,27,NA,NA,805,10.48,5,"F","35_to_49",4
"292","0",38.9793,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"293","0",37.5407,0,NA,NA,NA,76,34.14,2,"F","60_or_higher",2
"294","1",32.7198,0,NA,NA,NA,1819,226.35,2,"F","35_to_49",2
"295","0",82.9693,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"296","0",24.0816,3.5,142,NA,NA,2562,39.35,5,"M","50_to_59",4
"297","0",91.3701,0,NA,NA,NA,108,3.61,2,"M","60_or_higher",2
"298","0",31.1275,0,NA,NA,NA,0,6.66,2,"F","60_or_higher",2
"299","0",91.3701,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"300","1",38.8823,1.8,11,NA,NA,61,1.01,5,"M","60_or_higher",3
"301","0",30.8796,0,NA,NA,NA,28,0.84,2,"M","18_to_34",2
"302","0",84.8008,7.1,175,6,13530,11112,416.66,5,"M","35_to_49",5
"303","1",21.9493,7.9,357,6,3741,421,54.12,5,"F","50_to_59",5
"304","0",15.12,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"305","1",76.9293,0.5,2,NA,NA,293,4.65,5,"M","60_or_higher",2
"306","1",31.2094,8.1,350,9,9448,2801,204.31,5,"M","35_to_49",5
"307","#N/D",NA,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"308","#N/D",NA,0,NA,NA,NA,0,0.65,2,"F","50_to_59",2
"309","1",38.9793,0,NA,NA,NA,0,0,2,"F","18_to_34",1
"310","1",5.4324,0,NA,NA,NA,1198,28.72,2,"M","35_to_49",2
"311","1",48.2892,2.5,17,NA,NA,1309,25.45,5,"M","35_to_49",3
"312","0",18.8966,0,NA,NA,NA,161,2.74,2,"F","60_or_higher",2
"313","1",4.2521,0.9,5,NA,NA,100,10.01,5,"F","35_to_49",2
"314","1",80.5622,0,NA,NA,NA,3335,58.45,2,"M","35_to_49",2
"315","1",22.1629,0,NA,NA,NA,17,5.45,2,"M","35_to_49",2
"316","1",2.0241,0,NA,NA,NA,0,0,2,"F","50_to_59",2
"317","0",30.6057,0,NA,NA,NA,0,0,2,"F","",1
"318","1",3.7571,0,NA,NA,NA,7,0.12,2,"M","35_to_49",2
"319","1",14.4615,0,NA,NA,NA,6559,151.77,2,"F","35_to_49",2
"320","1",21.9493,2.7,25,NA,NA,151,24.82,5,"M","35_to_49",2
"321","1",34.7957,0,NA,NA,NA,0,32.24,2,"F","60_or_higher",2
"322","0",22.34,2.7,40,NA,NA,791,16.96,5,"F","50_to_59",2
"323","1",2.6535,0,NA,NA,NA,254,3.2,2,"F","35_to_49",2
"324","0",84.0827,6.5,68,2,52,1647,28.71,5,"M","50_to_59",5
"325","1",20.9402,0,NA,NA,NA,484,7.79,2,"F","50_to_59",2
"326","0",9.0717,0,NA,NA,NA,438,119.4,2,"M","35_to_49",2
"327","0",38.8823,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"328","1",20.7653,0.9,4,NA,NA,200,3.42,5,"F","35_to_49",2
"329","1",21.5967,0,NA,NA,NA,504,9.04,2,"F","35_to_49",2
"330","1",19.9297,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"331","0",31.7657,0,NA,NA,NA,2794,238.46,2,"M","35_to_49",2
"332","1",23.4498,7.5,911,14,84669,4688,1176.07,5,"F","35_to_49",5
"333","1",2.637,0,NA,NA,NA,0,15.21,2,"F","35_to_49",2
"334","0",38.8823,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"335","0",17.7124,0,NA,NA,NA,0,0.65,2,"M","60_or_higher",2
"336","0",15.12,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"337","1",36.4866,0,NA,NA,NA,100,2.29,2,"M","35_to_49",2
"338","1",2.0241,2.1,7,NA,NA,350,5.99,5,"F","35_to_49",3
"339","0",40.6938,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"340","0",45.3044,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"341","1",55.045,3.7,142,NA,NA,545,8.95,5,"F","50_to_59",4
"342","1",13.7844,0,NA,NA,NA,0,4.19,2,"F","50_to_59",2
"343","0",2.0241,0,NA,NA,NA,0,0.65,2,"M","35_to_49",2
"344","0",65.5871,0,NA,NA,NA,254,4.09,2,"M","60_or_higher",2
"345","1",40.0312,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"346","1",14.451,0,NA,NA,NA,0,13.52,2,"M","35_to_49",2
"347","1",54.0267,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"348","0",20.8567,0,NA,NA,NA,92,1.47,2,"I","35_to_49",2
"349","1",38.8823,0,NA,NA,NA,8,0.14,2,"F","50_to_59",2
"350","0",56.8339,2.8,31,1,3573,2395,100.89,1,"F","50_to_59",3
